,Body,Bolt-on neck,Fingerboard,Neck profile,Fingerboard radius,Scale,Nut width,Pickups,HB die-cast 22,Strings,Colour,link,model,price,Truss rod,Neck binding,Frets,Bridge,22,Factory strings,Fingerboard inlays,HB die-cast machine heads with 22,Pickup,Controls,Pickguard,Neck,Suitable replacement strings,Original strings,Top,5-Piece neck-thru-body,Nut,WSC JB-15DLX 17,String spacing,7-Piece neck-thru,Fingerboard Radius,Comfort body,Tuners,Fretboard radius,Fretboard,Scale length,Glued-in neck,Hardware,Neck Profile,Fingebroard,HB Die Cast 22,Stringing ex works,Machine heads,Gear ratio,HB DieCast 22,Nekc profile,Fingerboard raidus,Neckbinding
35, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Natural,https://harleybenton.com/product/mv-4jb-natural/,MV-4JB Natural," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D,," 864 mm (1.49"")"," 43 (1.49"")", HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),1 Machine heads, Daddario EXL165 .045 - .135 (Art.#242048#), Natural,https://harleybenton.com/product/mv-5pj-natural/,MV-5PJ Natural," 252
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 305 mm (12"")",
37, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, Daddario EXL165 .045 - .105 (Art.#144505#), Shell pink,https://harleybenton.com/product/mv-4jb-shell-pink/,MV-4JB Shell Pink," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
38, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")"," 43 mm (1.49"")", 1 HBZ- custom wound VJB-B AlNiCo 5 single coil (bridge) and 1 HBZ- custom wound VPB-N AlNiCo 5 single coil (middle),,, Burgundy Mist,https://harleybenton.com/product/mv-5pj-daphne-blue/,MV-5PJ Daphne Blue," 252
    ",,,, Sung Il WB401CR with brass saddles and 20 mm string spacing,, D'Addario EXL165 .045 - .135 (Art. #242048#), pearloid block,1 gear ratio,, 2 Volume and 1 tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (neck) single coils,, EXL165 .045 - .135 (Art.#242048#), Black,https://harleybenton.com/product/mv-5pj-lh-black/,MV-5PJ LH Black," 252
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles and 20 mm string spacing,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,,,,, Cream
40, Alder, Caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", 1 HBZ-Custom Wound AJB-B Alnico 5 Single Coil (bridge) and 1 HBZ-Custom Wound AJB-N Alnico 5 Single Coil (middle),, DAddario EXL165 .045 - .105 (Art.#144505#), Seafoam Green,https://harleybenton.com/product/mv-4jb-seafom-green/,MV-4JB Seafom Green," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,,,,,,, 3-Ply Parchement,,,,,,,,,,,,,,,,,,,,,, HB die-cast 22,,,,,
41, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")"," 43 mm (1.49"")", HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),1 machine heads, Daddario EXL165 .045 - .105 (Art.#242048#), Burgundy Mist,https://harleybenton.com/product/mv-5pj-burgundy-mist/,MV-5PJ Burgundy Mist," 252
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, Alder, caramelised Canadian sycamore maple with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 38 mm,,,, Black,https://harleybenton.com/product/mv-4p-lh-black/,MV-4P LH Black," 232
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL165 .045 - .105 (Art. #144505#), Pearloid block,, HBZ-custom wound VPB Alnico 5 split coil,,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
43, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,, Daddario EXL165 .045 - .105 (Art.#44505#), Daphne Blue,https://harleybenton.com/product/mv-4jb-daphne-blue/,MV-4JB Daphne Blue," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
44, Alder, Caramelised Canadian maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 43 mm (1.49"")", 1 HBZ-custom Wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ-custom Wound VPB-N Alnico 5 single coil (middle),,, Black,https://harleybenton.com/product/mv-5pj-black/,MV-5PJ Black," 252
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles and 20 mm string spacing,1 Gear ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm," 762 mm (30"")", 38 mm, HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and HBZ- custom wound VPB Alnico 5 split coil (neck),,, Black,https://harleybenton.com/product/mv-4msb-lh-black/,MV-4MSB LH Black," 232
    ",,, 19 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL170S .045 - .105 (Art. #205074#), Pearloid dots,,, 1 Volume and 1 tone,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
46, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")", 864 mm, 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, Daddario EXL165 .045 - .105 (Art.#144505#), Burgundy Mist,https://harleybenton.com/product/mv-4jb-burgundy-mist/,MV-4JB Burgundy Mist," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
47, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Shell pink,https://harleybenton.com/product/mv-4p-shell-pink/,MV-4P Shell Pink," 232
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ custom wound VPB Alnico 5 single coil, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-4jb-black/,MV-4JB Black," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", HBZ-custom wound VPB Alnico 5 single coils,,, Seafoam Green,https://harleybenton.com/product/mv-4p-seafoam-green/,MV-4P Seafoam Green," 232
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (centre) single coils,,, Natural,https://harleybenton.com/product/mv-5jb-natural/,MV-5JB Natural," 249
    ",,,,,, D'Addario EXL165 .045 - .135 (Art. #242048#), Pearloid block,1 gear ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", HBZ-custom wound VPB Alnico 5 single coils,,, Daphne Blue,https://harleybenton.com/product/mv-4p-daphne-blue/,MV-4P Daphne Blue," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, Alder, caramelised Canadian maple with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (middle) single coils,1 tuners,, Daphne Blue,https://harleybenton.com/product/mv-5jb-daphne-blue/,MV-5JB Daphne Blue," 252
    ",,,,,, D'Addario EXL165 .045 - .135 (Art. #242048#), Pearloid block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Burgundy Mist,https://harleybenton.com/product/mv-4p-burgundy-mist/,MV-4P Burgundy Mist," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ-custom wound VPB Alnico 5 single coils, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, D'Addario EXL165 .045 - .105 (Art. #242048#), Burgundy Mist,https://harleybenton.com/product/mv-5jb-burgundy-mist/,MV-5JB Burgundy Mist," 249
    ",,,,,,,,1 gear ratio,," 2 Volume, 1 tone", 3-ply tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,
55, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Black,https://harleybenton.com/product/mv-4p-black/,MV-4P Black," 232
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ-custom wound VPB Alnico 5 single coil, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe,, Soft D, 305 mm, 864 mm, 38 mm, 1 HBZ Custom Wound VJB-B Alnico 5 Single Coil (bridge) and 1 HBZ-Custom Wound VJB-N Alnico 5 (neck) Single Coil,,, Black,https://harleybenton.com/product/mv-4pj-lh-black/,MV-4PJ LH Black," 232
    ",, Cream,, Sung Il WB401CR with brass string saddles and 19 mm string spacing,,,,,,,,,,,,,,,,,,,,,,,,,, Laurel,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#),,,,,,
57, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, D'Addario EXL165 .045 - .105 (Art. #242048#), Burgundy Mist,https://harleybenton.com/product/mv-5jb-burgundy-mist/,MV-5JB Burgundy Mist," 249
    ",,,,,,,,1 gear ratio,," 2 Volume, 1 tone", 3-ply tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,
58, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Black,https://harleybenton.com/product/mv-4p-black/,MV-4P Black," 232
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ-custom wound VPB Alnico 5 single coil, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59, Alder, caramelised Canadian sycamore maple with Roseacer Skunkstripe, Laurel,,," 864 mm (34"")", 43 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-5jb-black/,MV-5JB Black," 252
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,," 305 mm (12"")",
60, Alder, caramelised Canadian hard rock maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Shell pink,https://harleybenton.com/product/mv-4msb-shell-pink/,MV-4MSB Shell Pink," 232
    ",,, 19 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio,,,,, Volume and tone,,,, D'Addario EXL170S .045 - .100 (Art. #205074#),,,,,,,,,,,,,,,,,,,,,,,,
61, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (centre),1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Natural,https://harleybenton.com/product/mv-4pj-natural/,MV-4PJ Natural," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62, Alder, caramelised Canadian hard rock maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Seafoam Green,https://harleybenton.com/product/mv-4msb-seafoam-green/,MV-4MSB Seafoam Green," 232
    ",,, 19 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio,,,,, Volume and tone,,,, .045 - .105,,,,,,,,,,,,,,,,,,,,,,,,
63, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Shell pink,https://harleybenton.com/product/mv-4pj-shell-pink/,MV-4PJ Shell Pink," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64, Alder, caramelised Canadian hard rock maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Daphne Blue,https://harleybenton.com/product/mv-4msb-daphne-blue/,MV-4MSB Daphne Blue," 232
    ",,,, Sung Il WB401CR with brass saddles,1 Gear ratio,,,,, Volume and tone,,,, D'Addario EXL170S .045 - .100 (Art. #205074#),,,,,,,,,,,,,,,,,,,,,,,,
65, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (centre),, Daddario EXL165 .045 - .105 (Art.#144505#), Seafoam Green,https://harleybenton.com/product/mv-4pj-seafoam-green/,MV-4PJ Seafoam Green," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
66, Alder, caramelised Canadian hard rock maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Burgundy Mist,https://harleybenton.com/product/mv-4msb-burgundy-mist/,MV-4MSB Burgundy Mist," 233
    ",,, 19 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio,,,,, Volume and tone,,,, D'Addario EXL170S .045 - .100 (Art. #205074#),,,,,,,,,,,,,,,,,,,,,,,,
67, Alder, caramelised Canadian maple with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound AJB-B Alnico 5 Single Coil (bridge) and HBZ-Custom Wound APB--N Alnico 5 Split Coil (centre),,D'Addario EXL165 .045 - .105 (Art.#144505#), Daphne Blue,https://harleybenton.com/product/mv-4pj-daphne-blue/,MV-4PJ Daphne Blue," 232
    ", Double Action rotating wheel,,, Sung Il WB401CR bridge with brass saddles,,,,,," 2 x Volume, 1 x Tone", 3-Ply Parchement,,,,,, White Graphite,,,,,,,,,,,,,,,, HB Jinho Die Cast 1,,,,,
68, Alder, caramelised Canadian hard rock maple with Roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Black,https://harleybenton.com/product/mv-4msb-black/,MV-4MSB Black," 233
    ",,,, Sung Il WB401CR with brass saddles,, D'Addario EXL170S .045 - .100 (Art. #205074#),,,, Volume and tone,,,,,,,,, 19 mm,,,,,,,,,,,,,,, 22,,,,
69, Alder, caramelised Canadian sycamore maple with Roseacer Skunkstripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),, Daddario EXL165 .045 - .105 (Art.#144505#), Burgundy Mist,https://harleybenton.com/product/mv-4pj-burgundy-mist/,MV-4PJ Burgundy Mist," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
70, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 43 mm, HBZ Custom Wound VJB-B Alnico 5 Single-Coil (bridge) and HBZ-Custom Wound VJB-N Alnico 5 (neck) Single Coil,, Daddario EXL165 .045 - .135 (Art.#242048#), Black,https://harleybenton.com/product/mv-5jb-lh-black/,MV-5JB LH Black," 252
    ",, Cream, 20 Premium Nickel Silver 2.9 mm medium,,,, Pearloid block,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,,,,,
71, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel,," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (centre),1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-4pj-black/,MV-4PJ Black," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, D,,
72, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 38 mm, HBZ-custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (middle) single coils,,, Black,https://harleybenton.com/product/mv-4jb-lh-black/,MV-4JB LH Black," 232
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL165 .045 - .105 (Art. #144505#), Pearloid block,,,,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
73, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Natural,https://harleybenton.com/product/mv-4jb-natural/,MV-4JB Natural," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
